['Time':2016-10-30 20:15:58,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:16:52,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:17:03,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:17:25,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:18:33,'Commit:'onlineDuration]{56}
['Time':2016-10-30 20:19:08,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:19:25,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:19:39,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:19:48,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:21:37,'Commit:'onlineDuration]{56}
['Time':2016-10-30 20:21:53,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:22:28,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:22:50,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:23:12,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:23:55,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:24:06,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:27:57,'Commit:'onlineDuration]{168}
['Time':2016-10-30 20:28:29,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:28:53,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:29:23,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:38:11,'Commit:'onlineDuration]{448}
['Time':2016-10-30 20:42:42,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:42:56,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:56:30,'Commit:'onlineDuration]{728}
['Time':2016-10-30 20:57:09,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:57:29,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:58:17,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:58:41,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:58:56,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:59:05,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:59:44,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:59:50,'Commit:'onlineDuration]{0}
